filename,is_drone,date,location,noise_level,noise_type,gain,sr,duration,num
ambience_000000.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000001.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000002.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000003.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000004.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000005.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000006.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000007.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000008.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000009.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000010.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000011.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000012.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000013.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000014.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000015.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000016.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000017.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000018.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000019.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000020.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000021.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000022.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000023.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000024.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000025.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000026.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000027.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000028.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000029.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000030.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000031.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000032.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000033.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000034.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000035.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000036.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000037.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000038.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000039.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000040.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000041.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000042.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000043.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000044.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000045.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000046.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000047.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000048.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000049.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000050.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000051.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000052.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000053.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000054.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000055.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000056.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000057.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000058.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000059.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000060.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000061.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000062.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000063.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000064.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000065.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000066.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000067.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000068.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000069.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000070.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000071.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000072.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000073.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000074.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000075.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000076.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000077.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000078.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000079.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000080.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000081.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000082.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000083.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000084.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000085.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000086.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000087.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000088.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000089.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000090.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000091.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000092.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000093.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000094.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000095.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000096.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000097.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000098.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000099.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000100.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000101.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000102.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000103.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000104.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000105.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000106.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000107.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000108.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000109.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000110.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000111.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000112.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000113.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000114.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000115.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000116.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000117.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000118.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000119.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000120.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000121.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000122.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000123.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000124.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000125.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000126.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000127.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000128.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000129.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000130.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000131.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000132.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000133.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000134.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000135.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000136.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000137.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000138.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000139.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000140.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000141.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000142.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000143.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000144.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000145.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000146.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000147.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000148.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000149.pt,False,2025-12-15,room,high noise,fan,50,22050,300,1
ambience_000150.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000151.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000152.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000153.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000154.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000155.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000156.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000157.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
ambience_000158.pt,False,2025-12-15,room,high noise,fan,50,22050,300,2
